id,title,douban_link,rating,year,image,video_url,summary,country,language,episode_duration,episode_count,director,scriptwriter,cast,official_website,also_known_as,genre
275,名侦探柯南：战栗的乐谱 名探偵コナン 戦慄の楽譜,https://movie.douban.com/subject/2357719/,7.3,2008,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453739518.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200mkg2gh2%2Fw0024satrsf.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep325900%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",堂本一辉是著名的钢琴演奏家，两年前突然宣布不再演奏钢琴转而攻向管风琴，更斥资建造了堂本音乐厅，准备在落成之日举行演奏会。然而在演奏会之前，堂本音乐学院的学生相继死去，先是爆炸案，后是单个被杀。园子带着柯南一行人来听排练，认识了女高音歌唱家秋庭怜子，拥有绝对音感的秋庭也开始遭遇到危险：润生茶被下药、作森林浴时遭遇空气枪袭击、试演会当天更遭击晕。然而就是从这些事件中，柯南找到了推理的逻辑：凶手试图把秋庭排除在凶杀外。这边已经正式开演的演奏会浑然不知音乐大厅外已是爆炸连天，小兰、灰原哀以及演奏厅内的一千多人顿时危在旦夕，绝对音感成为了唯一的救命线索。柯南找到了爆炸的逻辑，要在罪犯引爆最后一个炸弹前，把他找出来。,日本,日语,,,['山本泰一郎'],"['古内一成', '青山刚昌']","['高山南', '山崎和佳奈', '神谷明', '松井菜樱子', '山口胜平', '桑岛法子', '林原惠美', '岩居由希子', '高木涉', '大谷育江', '绪方贤一', '茶风林', '井上和彦', '汤屋敦子', '千叶一伸', '目黑光祐', '水谷优子', '金月真美', '古泽彻', '百百麻子', '山里亮太', '坂下千里子', '西尾由佳理', '田中信夫', '依田英助']",,名侦探柯南2008：战栗的乐谱 / 柯南剧场版：战栗的乐谱 / 名侦探柯南：剧场版第12部 / Detective Conan: Full Score of Fear / Meitantei Conan: Senritsu no furu sukoa,"['动画', '悬疑']"
276,龙珠大魔 ドラゴンボールDAIMA,https://movie.douban.com/subject/36606969/,9.0,2024,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2910821472.jpg,['https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_vhd9uxnye8.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&amp;subtype=9&amp;type=online-video&amp;link2key=68ffb8fc92'],在某个阴谋中，悟空他们竟然变小了。为了解决而进入新世界！在未知的不可思议的世界里展开的大险和激烈的动作!特别是悟空为了弥补身体的渺小，可能会怀念久违地使用如意棒的战斗。,日本,日语,32分钟,20.0,"['八岛善孝', '小牧文']",['鸟山明'],"['野泽雅子', '久川绫', '堀川亮', '田中真弓', '铃木崚汰', '草尾毅', '平野绫', '川津泰彦', '太田真一郎', '青森伸', '盐屋浩三', '岛田敏', '森久保祥太郎', '榎木淳弥', '日笠阳子', '中博史', '绪方贤一', '大友龙三郎']",,龙珠DAIMA / Dragon Ball DAIMA / 龙珠：大魔,['动画']
277,我的邻居山田君 ホーホケキョとなりの山田くん,https://movie.douban.com/subject/1417728/,8.8,1999,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p462372509.jpg,['https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_vhd9uxnye8.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&amp;subtype=9&amp;type=online-video&amp;link2key=68ffb8fc92'],住在山野市的山田家共有五口人：一家之主山田隆年届不惑，是一间小公司杂物课的职员。他有些大男子主义，经常为了些琐事和老婆吵吵闹闹，却又被丈母娘压得抬不起头来；阿隆的妻子松子和丈夫同岁，是个全职的家庭主妇，每天忙忙碌碌，照顾一大家子人的饮食起居，却又迷迷糊糊，经常丢三落四；松子的母亲年近古稀，然而精神矍铄，这位老人家一向特立独行，讲话毒辣，连暴走组也全不畏惧；长子阿升是个长相和学习都平平的中学生，他继承了母亲迷糊的性格，生活中乐事不断；小女儿野野子还是个小学三年级学生，瘦瘦小小的她碰上一群脑瓜秀逗的家人，经常成为被遗忘的对象。就是这样一个平凡的山田家，每日里上演着妙趣横生、欢乐无穷的精彩生活秀。本片根据石井壽一（いしい ひさいち）四格漫画《ホーホケキョ となりの山田くん》改编。,日本,日语,,,['高畑勋'],"['高畑勋', '石井寿一']","['朝丘雪路', '益冈彻', '荒木雅子', '五十畑迅人', '矢野显子']",,隔壁的山田君(台) / 邻居的山田君 / My Neighbors the Yamadas,"['喜剧', '动画', '家庭']"
278,蜡笔小新 クレヨンしんちゃん,https://movie.douban.com/subject/1431683/,9.3,1992,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510330984.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fnsgczu8u2kvpe9e%2Fs0016uzzh4e.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep108766%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjU1Nzc3NTU2.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video']",小新今年5岁了，不要以为他是那种懵懂无知的小孩，他其实人小鬼大，喜欢漂亮的姐姐，收养了一条棉花糖一样的流浪狗——小白，还经常讲些无厘头的黄色笑话。小新的妈妈美伢是一个全职主妇，粗心而又有点神经质的她经常被小新捉弄得七窍生烟，爸爸野原亦经常被这两母子搞得晕头转向。《蜡笔小新》的作者以一个5岁小童的眼光，40岁的成年人的心态去观察这个大千世界，看到了许多光怪陆离的景象，小新一家的幽默故事亦由此产生。,日本,日语,24分钟,,"['本乡满', '高桥涉', '原惠一', '水岛努', '武藤裕治']",['臼井仪人'],"['矢岛晶子', '小林由美子', '楢桥美纪', '藤原启治', '森川智之', '兴梠里美', '真柴摩利', '林玉绪', '一龙斋贞友', '佐藤智惠', '高田由美', '七绪春日', '富泽美智惠', '三石琴乃', '纳谷六朗', '森田顺平']",,Kureyon Shin-chan,"['喜剧', '动画', '家庭']"
279,蜡笔小新：激战！涂鸦王国和约四位勇士 映画クレヨンしんちゃん 激突！ラクガキングダムとほぼ四人の勇者,https://movie.douban.com/subject/34811098/,8.7,2020,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2615830700.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200iwlt7vs.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fss45581%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",《蜡笔小新》第28部电影，日本于2020年4月24日上映，本作并为蜡笔小新漫画连载30周年纪念作品。宣传标语有[世界拯救！蜡笔！，本作以涂鸦王国为舞台，讲述小新等四位勇士拯救世界的故事。,日本,日语,,,['京极尚彦'],['高田亮'],"['小林由美子', '楢桥美纪', '森川智之', '兴梠里美', '真柴摩利', '林玉绪', '一龙斋贞友', '佐藤智惠', '神谷浩史', '伊藤静', '富永美伊奈', '黑泽朋世', '森田顺平', '七绪春日', '富泽美智惠', '三石琴乃', '玉川纱己子', '铃木玲子', '大塚瑞惠', '伊仓一惠', '星野千寿子', '山田秋子', '大冢智子', '茶风林', '辻亲八', '中田让治', '平田广明', '玄田哲章', '三矢雄二', '飞田展男', '井上喜久子', '小杉十郎太', '诹访部顺一', '能登麻美子', '麻生智久', '大西健晴', '泷本富士子', '山本格', '松本健太', '田岛章宽', '桂一雅', '后藤光祐', '花藤莲', '岩桥由佳', '河村梨惠', '井之上润', '古贺明', '安田陆矢', '八幡谅', '桥本结', '小泉濑奈', '久保田光', '今泉里绪奈', '前田晴香', '凯莉葩缪葩缪', '池田贵史', '苹果酱', '山田裕贵']",,蜡笔小新剧场版：激战！涂鸦王国与差不多四勇者(港/台) / 蜡笔小新剧场版 28部,"['动画', '奇幻', '冒险']"
280,凡人修仙传,https://movie.douban.com/subject/34925294/,7.9,2020,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2610801866.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep733316%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],平凡少年韩立出生贫困，为了让家人过上更好的生活，自愿前去七玄门参加入门考核，最终被墨大夫收入门下。墨大夫一开始对韩立悉心培养、传授医术，让韩立对他非常感激，但随着一同入门的弟子张铁失踪，韩立才发现了墨大夫的真面目。墨大夫试图夺舍韩立，最终却被韩立反杀。通过墨大夫的遗书韩立得知了一个全新世界：修仙界的存在。在帮助七玄门抵御外敌之后，韩立离开了七玄门，前去墨大夫的家中寻找暖阳宝玉解毒，并帮助墨家人打败了敌人。通过墨大夫之女墨彩环的口中得知太南小会地址，韩立为追寻修仙人的足迹决定前往太南小会，拜别家人后……,中国大陆,汉语普通话,20分钟,17.0,"['伍镇焯', '王裕仁']","['金增辉', '李欣雨']","['钱文青', '杨天翔', '杨默', '张福正', '谷江山', '乔诗语', '佟心竹']",,凡人修仙传：风起天南 / 凡人修仙传之凡人风起天南 / 凡人修仙传 第一季 / 凡人修仙传 第1-17集 / A Record of Mortal's Journey to Immortality,"['动画', '奇幻', '武侠']"
281,名侦探柯南：绀碧之棺 名探偵コナン 紺碧の棺,https://movie.douban.com/subject/2357717/,6.9,2007,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2528437799.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200jn1zjqh%2Fi0024nzw8y1.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep325944%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",柯南和小五郎等拉着大队，来到位于太平洋中的美丽小岛“神海岛”渡假。这座岛屿自古已有流传，大概有关沉没于海底的古代遗迹“海底宫殿”，及300年前两名女海盗遗留下来的宝藏传说。小兰和园子不惧流传，在“海底宫殿”附近潜水时，意外遇到一大群正在寻找宝物的猎人，不料其中一人突然遭鲨鱼攻击，不幸身亡！小兰和园子幸运逃难，柯南见那位猎人死状诡异，与灰原一起展开调查。柯南认为猎人之死，跟宝藏传说有着莫大关系，他试图解开背后原因，“海底宫殿”的谜题一直系绕在他的脑海中。他找到了一组神秘名词“Jolly Roger(海盗旗)”后，满以为有所起色，猎人却突然现身，并偷走了原来发现的宝藏！小兰和园子落在猎人的魔掌之中，性命危在旦夕！隐藏于传说中的讯息是什么？“海底宫殿”有什么秘密？穿越300年时光的暗号，柯南誓要逐步解开迷题,日本,日语,,,['山本泰一郎'],"['青山刚昌', '柏原宽司']","['高山南', '山崎和佳奈', '神谷明', '山口胜平', '林原惠美', '松井菜樱子', '岩居由希子', '高木涉', '大谷育江', '绪方贤一', '茶风林', '井上和彦', '汤屋敦子', '堀内贤雄', '中田让治', '神奈延年', '黑田崇矢', '大本真基子', '仓田雅世', '稻叶实', '广田行生', '冈和男', '片冈富枝', '田中一成', '早水理沙', '穗积隆信']",,名侦探柯南：深蓝色的海盗旗 / 名侦探柯南2007：蔚蓝色的灵柩 / 名侦探柯南：剧场版第11部 / 蔚蓝色的灵柩 / Detective Conan: Jolly Roger in the Deep Azure,"['剧情', '动画', '悬疑']"
282,哆啦A梦：伴我同行2 STAND BY ME ドラえもん2,https://movie.douban.com/subject/34913671/,7.1,2020,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2641407963.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200nfpfnid.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNTE5OTM1NDkyNA%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.mgtv.com%2Fb%2F367294%2F13840627.html%3Fcxid%3Dvb4rv4jhk&amp;subtype=7&amp;type=online-video']",某天，大雄（大原惠美 配音）偶然发现了童年时奶奶为自己缝制的玩偶熊，于是央求哆啦A梦（水田山葵 配音）去往过去看望已不再人世的奶奶（宫本信子 配音），大雄与奶奶重逢之后，奶奶希望能看到大雄长大结婚时的样子，答应奶奶的大雄与哆啦A梦则再一次的返回了未来，婚礼如期举行的那天，所有人都到了场，但最重要的新郎成年大雄（妻夫木聪 配音）居然不在现场，情急之下，哆啦A梦让大雄假扮成年时的自己与静香结婚（嘉数由美 配音），然而真正的成年大雄究竟去了哪里呢？,日本,日语,,,"['八木龙一', '山崎贵']","['山崎贵', '藤子·F·不二雄']","['水田山葵', '大原惠美', '嘉数由美', '木村昴', '关智一', '妻夫木聪', '宫本信子', '三石琴乃', '松本保典', '笨蛋节奏', '羽鸟慎一']",,与我同行的哆啦A梦2 / 机器猫：伴我同行2 / 小叮当：伴我同行2 / Stand by Me Doraemon 2 / Doraemon 3D: Stand by Me 2,"['剧情', '动画']"
283,星际牛仔 天国之门 カウボーイビバップ 天国の扉,https://movie.douban.com/subject/1307031/,9.0,2001,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p454096953.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fm.tv.sohu.com%2Fa%2Fa9848636.shtml%3Fchanneled%3D200101&amp;subtype=2&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep78052%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",2071年的万圣节前夕，火星上的大城市突然发生了令人惊叹的犯罪。高速公路上一辆油罐车爆炸了。事故发生现场的人们因不明原因病倒，死伤人数超过400人。这样大规模的杀人事件，似乎是不明来源的生物武器所为。为此，火星政府发布了3亿圆的赏金悬赏恐怖分子。目击事件的faye单独行动妄图独占赏金，艾德使用黑客技术找到线索，与Bebop号上的大家一起行动。四人一狗组合再次出动，但他们不知道，这3亿元的代价，是对抗前所未有的强大犯罪者。,日本 / 美国,法语 / 德语 / 意大利语 / 葡萄牙语 / 西班牙语 / 日语 / 英语 / 阿拉伯语,,,['渡边信一郎'],"['矢立肇', '信本敬子']","['山寺宏一', '石冢运升', '林原惠美', '多田葵', '矶部勉', '屋良有作', '井上和彦', '小杉十郎太', '有本钦隆', '柴田秀胜', '上田祐司', '飞田展男', '小山力也', '小林爱', '平尾仁', '中岛聪彦', '中博史', '垂木勉', '长泽美树', '秋元羊介', '一条和矢', '依田英助', '长嶝高士', '小山武宏', '仲野裕', '桑岛法子', '天田益男', '菅原淳一', '千叶一伸', '小西克幸', '松本和香子', '村井每早', '石桥莲司', '五十岚信次郎']",,赏金猎人 天国之扉 / Cowboy Bebop: The Movie / Cowboy Bebop: Knockin' On Heavens Door / Cowboy Bebop: Tengoku no tobira,"['剧情', '喜剧', '动作', '科幻', '动画', '惊悚', '犯罪']"
284,怪兽8号 怪獣8号,https://movie.douban.com/subject/36052975/,7.9,2024,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2906614802.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep819571%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],这是一个怪兽如日常般威胁人类的世界。日比野卡夫卡原本立志加入“日本防卫队”，却放弃梦想，在怪兽清扫公司工作。与他一同发誓“两人一起消灭所有怪兽”的发小亚白米娜已经成为第三部队队长大显身手，再加上遇到了想要加入防卫队的后辈市川莱诺，以此为契机，卡夫卡再次开始追逐梦想。,日本,日语,23分钟,12.0,"['宫繁之', '神谷友美']",['大河内一楼'],"['福西胜也', '加藤涉', '濑户麻沙美']",,Kaiju No. 8,"['动作', '科幻', '动画', '灾难']"
285,数码宝贝：最后的进化 デジモンアドベンチャー LAST EVOLUTION 絆,https://movie.douban.com/subject/30482645/,7.3,2020,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2623955494.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc002009a14l7o.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNTE5OTM1NDkyOA%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video']",2010年，曾经的小学生们已经步入大学，太一、阿和等人步上不同的人生道路（八神太一和石田大和将会成长为22岁），而就在此时，数码宝贝的研究者メノア(松冈茉优 配音)却告诉他们：“被选召的孩子们”长大成人后，数码宝贝也将随之消失…。预告中字幕表明这是“太一他们最后的故事” ，结尾则注明：献给所有和数码宝贝一起成长的“孩子”们，还有亚古兽注视着长大成人的太一的背影，“太一，你长大了呢”。,日本,日语,,,['田口智久'],['大和屋晓'],"['花江夏树', '细谷佳正', '三森铃子', '田村睦心', '吉田仁美', '池田纯矢', '榎木淳弥', '市道真央', '坂本千夏', '山口真弓', '重松花鸟', '山田木野子', '竹内顺子', '樱井孝宏', '松本美和', '德光由禾', '松冈茉优', '小野大辅']",,数码宝贝大冒险 最后的进化·羁绊 / 数码宝贝大冒险剧场版 / Digimon Adventure: Last Evolution Kizuna,"['动画', '冒险']"
